order_id,customer_id,order_date,ship_date,ship_mode,category,sub_category,product_name,quantity,unit_price,discount,sales,profit,region
855562,88104,2021-10-25,2021-10-30,Standard Class,Technology,Phones,Phones Model 601,5,2439.23,0.0,12196.15,2785.63,Central
431064,31174,2023-06-10,2023-06-11,Standard Class,Technology,Phones,Phones Model 536,7,309.94,0.05,2061.1,860.0,East
923481,74686,2022-08-15,2022-08-22,Standard Class,Office Supplies,Paper,Paper Model 721,4,43.16,0.15,146.74,-2.8,West
610258,98696,2023-07-09,2023-07-13,Second Class,Office Supplies,Paper,Paper Model 223,4,116.77,0.05,443.73,60.14,West
414608,94259,2022-10-09,2022-10-14,Second Class,Office Supplies,Fasteners,Fasteners Model 603,3,63.19,0.0,189.57,71.31,South
363165,87236,2021-03-26,2021-03-27,Second Class,Stationery,Staplers,Staplers Model 209,1,68.04,0.2,54.43,-1.12,South
689444,84364,2023-12-25,2023-12-31,Second Class,Electronics,Cameras,Cameras Model 533,6,504.63,0.1,2725.0,861.39,Central
695417,45093,2022-12-26,2023-01-02,Standard Class,Office Supplies,Paper,Paper Model 268,2,38.0,0.15,64.6,-4.52,South
150026,66155,2023-06-04,2023-06-09,Standard Class,Office Supplies,Labels,Labels Model 158,1,109.68,0.1,98.71,8.24,East
517754,93886,2022-07-13,2022-07-16,Same Day,Office Supplies,Envelopes,Envelopes Model 898,5,77.09,0.0,385.45,78.28,East
203782,86484,2022-07-08,2022-07-11,Second Class,Office Supplies,Paper,Paper Model 401,1,43.38,0.1,39.04,3.91,South
824087,38893,2021-07-21,2021-07-24,Standard Class,Office Supplies,Envelopes,Envelopes Model 261,11,121.86,0.2,1072.37,-203.63,East
271276,16630,13-Mar-2023,2023-03-17,Standard Class,Electronics,Cameras,Cameras Model 731,12,768.67,0.0,9224.04,872.52,South
162952,95477,2022-05-11,2022-05-17,Standard Class,Stationery,Staplers,Staplers Model 656,10,47.8,0.2,382.4,62.18,West
325933,60311,2022-02-04,2022-02-09,Standard Class,Office Supplies,Labels,Labels Model 480,2,86.27,0.15,146.66,19.89,West
953350,74042,2022-11-23,2022-11-29,Same Day,Office Supplies,Paper,Paper Model 216,1,62.71,0.1,56.44,1.85,South
366642,82357,2022-01-04,2022-01-07,Standard Class,Office Supplies,Paper,Paper Model 395,11,18.13,0.05,189.46,69.95,Central
599687,86622,2021-01-22,2021-01-28,First Class,Electronics,Headphones,Headphones Model 374,3,341.57,0.0,1024.71,344.67,East
979725,55082,2021-01-18,2021-01-25,Standard Class,Office Supplies,Fasteners,Fasteners Model 957,14,82.26,0.0,1151.64,481.97,Central
760458,99733,2021-05-20,2021-05-21,Standard Class,Office Supplies,Paper,Paper Model 665,13,20.03,0.3,182.27,19.75,East
200979,24621,2023-04-23,2023-04-24,Standard Class,Office Supplies,Binders,Binders Model 513,8,133.68,0.0,1069.44,297.35,Central
571706,88907,2023-12-12,2023-12-13,Standard Class,Office Supplies,Envelopes,Envelopes Model 690,2,16.92,0.5,16.92,-9.24,Central
880762,65333,2023-07-03,2023-07-06,Standard Class,Furniture,Chairs,Chairs Model 666,3,125.67,0.05,358.16,100.66,South
450912,30033,2022-03-26,2022-04-01,Second Class,Office Supplies,Envelopes,Envelopes Model 338,8,44.7,0.05,339.72,119.19,East
372387,94012,2022-08-04,2022-08-07,Second Class,Electronics,Chargers,Chargers Model 133,2,787.11,0.0,1574.22,220.92,West
478496,95181,2022-01-31,2022-02-01,Standard Class,Stationery,Scissors,Scissors Model 483,1,52.89,0.0,52.89,2.91,West
477808,99593,2021-02-18,2021-02-23,Standard Class,Stationery,Notebooks,Notebooks Model 279,4,21.76,0.0,87.04,25.67,Central
687569,97841,2021-07-08,2021-07-09,First Class,Office Supplies,Paper,Paper Model 206,11,126.5,0.05,1321.92,306.81,South
684572,96474,2022-03-21,2022-03-26,Standard Class,Office Supplies,Binders,Binders Model 955,6,87.37,0.05,498.01,177.8,Central
949363,41571,2021-09-07,2021-09-13,First Class,Office Supplies,Envelopes,Envelopes Model 535,4,89.23,0.1,321.23,109.02,East
370233,16006,2021-09-03,2021-09-04,Standard Class,Electronics,Cables,Cables Model 692,1,783.93,0.1,705.54,182.42,West
460857,54597,2021-09-24,2021-09-28,Standard Class,Office Supplies,Fasteners,Fasteners Model 108,5,147.38,0.15,626.36,4.0,East
120798,52504,2022-01-14,2022-01-15,Second Class,Stationery,Staplers,Staplers Model 312,18,31.51,0.2,453.74,127.48,East
531762,10282,2022-01-13,2022-01-16,Second Class,Office Supplies,Fasteners,Fasteners Model 698,1,51.42,0.0,51.42,22.28,East
227126,37653,2022-08-27,2022-08-31,Standard Class,Furniture,Tables,Tables Model 977,4,230.63,0.2,738.02,225.56,East
468145,26828,2021-06-05,2021-06-11,First Class,Technology,Accessories,Accessories Model 925,9,767.86,0.05,6565.2,355.94,Central
812597,96374,2023-07-18,2023-07-21,Standard Class,Stationery,Staplers,Staplers Model 283,6,78.54,0.15,400.55,48.53,West
734992,37653,2023-05-25,2023-05-31,Standard Class,Office Supplies,Fasteners,Fasteners Model 291,6,73.98,0.0,443.88,165.52,Central
308622,84341,2022-10-25,2022-10-28,Standard Class,Electronics,Cameras,Cameras Model 130,6,495.15,0.1,2673.81,704.18,West
704875,65519,2021-11-28,2021-12-05,Standard Class,Office Supplies,Labels,Labels Model 284,2,98.52,0.05,187.19,77.64,Central
703869,34931,2021-06-01,2021-06-04,First Class,Furniture,Tables,Tables Model 864,2,601.12,0.05,1142.13,25.58,West
781433,53480,2021-05-08,2021-05-12,Standard Class,Furniture,Bookcases,Bookcases Model 523,8,773.06,0.05,5875.26,1079.03,South
780663,57052,2023-03-07,2023-03-10,Standard Class,Technology,Monitors,Monitors Model 682,8,2392.28,0.0,19138.24,5243.56,Central
664593,62581,2021-05-04,2021-05-07,Standard Class,Electronics,Speakers,Speakers Model 913,9,460.43,0.0,4143.87,783.36,Central
283017,59672,2022-06-27,2022-06-29,Second Class,furniture,Storage,Storage Model 662,10,1051.69,0.0,10516.9,-3394.88,West
918213,39871,2023-06-22,2023-06-23,First Class,Office Supplies,Fasteners,Fasteners Model 114,4,14.48,0.1,52.13,10.3,West
398433,14207,2023-10-05,2023-10-07,Standard Class,Stationery,Markers,Markers Model 197,3,75.95,0.1,205.07,53.65,West
472358,65444,2023-03-16,2023-03-18,Standard Class,Technology,Printers,Printers Model 372,7,1328.86,0.1,8371.82,3042.68,South
440881,98740,2023-10-05,2023-10-06,Standard Class,Furniture,Storage,Storage Model 288,5,1184.55,0.0,5922.75,1367.24,Central
805893,93886,2021-10-22,2021-10-27,First Class,Furniture,Bookcases,Bookcases Model 794,6,683.0,0.1,3688.2,336.91,East
635239,18392,2023-06-03,2023-06-05,Second Class,Technology,Phones,Phones Model 507,7,1510.67,0.2,8459.75,2416.39,South
611174,24621,2021-08-06,2021-08-10,Standard Class,Office Supplies,Paper,Paper Model 375,9,25.91,0.05,221.53,63.55,East
912378,12552,2022-06-15,2022-06-16,Standard Class,Office Supplies,Binders,Binders Model 607,2,50.6,0.0,101.2,29.74,West
872303,37460,2021-03-13,2021-03-14,Standard Class,Technology,Accessories,Accessories Model 948,3,1837.86,0.0,5513.58,539.63,East
568640,80644,2021-05-25,2021-05-30,First Class,Furniture,Storage,Storage Model 179,1,1174.64,0.1,1057.18,190.18,Central
182216,63883,2022-05-29,2022-06-05,Second Class,Electronics,Speakers,Speakers Model 162,4,592.39,0.1,2132.6,117.34,Central
499581,62350,2023-07-03,2023-07-04,First Class,Office Supplies,Labels,Labels Model 532,1,92.22,0.15,78.39,-2.61,South
743473,30379,2023-10-17,2023-10-19,Second Class,Stationery,Notebooks,Notebooks Model 659,3,16.96,0.1,45.79,7.53,Central
400441,10074,2021-01-02,2021-01-03,First Class,Technology,Monitors,Monitors Model 125,4,474.85,0.0,1899.4,813.81,Central
586279,17592,2023-03-11,2023-03-14,Standard Class,Office Supplies,Binders,Binders Model 989,2,88.23,0.3,123.52,-16.77,West
762398,30032,2021-11-07,2021-11-13,Standard Class,Office Supplies,Paper,Paper Model 173,4,64.1,0.1,230.76,1.39,Central
251884,69177,2022-11-07,2022-11-11,Standard Class,Office Supplies,Envelopes,Envelopes Model 561,1,54.78,0.0,54.78,10.52,West
275715,59009,2021-01-08,,Standard Class,Furniture,Bookcases,Bookcases Model 575,1,872.13,0.2,697.7,43.5,East
771697,61173,2023-10-02,2023-10-06,Second Class,Office Supplies,Binders,Binders Model 877,8,31.76,0.05,241.38,23.03,West
946952,82512,2023-06-13,2023-06-17,Standard Class,Furniture,Bookcases,Bookcases Model 119,2,1183.91,0.1,2131.04,203.37,East
453777,82603,2021-05-24,2021-05-29,First Class,Furniture,Storage,Storage Model 321,1,922.03,0.05,875.93,7.52,West
542306,88172,2022-04-08,2022-04-09,Standard Class,Technology,Laptops,Laptops Model 925,4,1594.17,0.4,3826.01,-2080.98,Central
761938,93886,2023-02-27,2023-03-05,First Class,Stationery,Staplers,Staplers Model 182,7,31.73,0.0,222.11,96.72,East
742053,39451,2023-09-15,2023-09-16,Second Class,Technology,Monitors,Monitors Model 509,2,1416.98,0.0,2833.96,577.85,West
699405,63883,2023-01-06,2023-01-09,First Class,Furniture,Desks,Desks Model 298,5,110.97,0.2,443.88,41.81,West
524434,34957,2022-09-13,2022-09-17,Standard Class,Technology,Monitors,Monitors Model 556,1,2176.52,0.3,1523.56,-380.04,South
990136,74686,2021-04-24,2021-04-30,First Class,Office Supplies,Paper,Paper Model 897,1,95.03,0.0,95.03,13.05,East
174809,66985,2021-07-05,2021-07-08,Standard Class,Technology,Phones,Phones Model 140,4,994.07,0.2,3181.02,855.08,East
182954,31643,2023-12-31,2024-01-07,Second Class,Office Supplies,Labels,Labels Model 450,4,91.96,0.05,349.45,131.16,East
269868,37460,2022-11-28,2022-11-29,Standard Class,Technology,Accessories,Accessories Model 801,5,1824.65,0.2,7298.6,-720.77,South
460317,50857,2023-07-31,2023-08-07,First Class,Technology,Printers,Printers Model 111,6,542.35,0.15,2765.98,-285.92,West
339303,87128,2022-08-17,2022-08-23,Second Class,Office Supplies,Paper,Paper Model 133,16,10.62,0.05,161.42,65.12,East
428709,71993,2022-02-20,2022-02-22,Second Class,Technology,Monitors,Monitors Model 398,4,2363.62,0.15,8036.31,233.21,Central
432270,36062,2021-03-22,2021-03-26,Standard Class,Office Supplies,Binders,Binders Model 697,2,47.26,0.0,94.52,11.55,East
784733,55332,2022-01-27,2022-01-30,Standard Class,Furniture,Desks,Desks Model 303,7,660.71,0.2,3699.98,226.9,West
405509,80381,2023-03-10,2023-03-11,Standard Class,Furniture,Bookcases,Bookcases Model 313,2,755.92,0.5,755.92,-123.97,West
